Year,Month,Day,Hour,Minute,Second,MJD,RA,Dec
2024,9,3,8,36,25.510217,60556.35862859047,317.788,-14.116944444444444
2024,9,3,8,36,26.310824,60556.358637856756,318.0874166666667,-14.322277777777778
2024,9,3,8,36,27.111431,60556.358647123045,318.38491666666664,-14.526583333333337
2024,9,3,8,36,27.912038,60556.358656389326,318.67829166666667,-14.725666666666667
2024,9,3,8,36,28.71262,60556.35866565532,318.97433333333333,-14.925888888888888
2024,9,3,8,36,29.513202,60556.35867492132,319.26779166666665,-15.122777777777776
2024,9,4,8,30,27.101891,60557.35448034596,322.35754166666663,-34.007305555555554
2024,9,4,8,30,28.102487,60557.354491926926,322.82425,-34.15822222222222
2024,9,4,8,30,29.103083,60557.3545035079,323.28495833333335,-34.304472222222216
2024,9,4,8,30,30.103679,60557.354515088875,323.73758333333336,-34.44566666666666
2024,9,4,8,31,13.129311,60557.35501307072,340.5583333333333,-38.06519444444445
2024,9,4,8,31,15.130503,60557.35503623267,341.2066666666667,-38.14244444444444
2024,9,4,8,31,16.131099,60557.355047813646,341.530375,-38.17827777777777
2024,9,4,8,31,17.131695,60557.35505939462,341.84995833333335,-38.21383333333333
2024,9,4,8,31,18.132291,60557.35507097559,342.16204166666665,-38.24747222222222
2024,9,4,8,31,19.132887,60557.35508255656,342.481875,-38.281166666666664
2024,9,4,8,31,56.154942,60557.35551105257,352.5530416666667,-38.772194444444445
2024,9,4,8,32,0.157326,60557.35555737646,353.38966666666664,-38.76244444444445
