MJD,X_ECI,Y_ECI,Z_ECI,VX_ECI,VY_ECI,VZ_ECI,
60556.358628590496664,-666595.105785747757182,-5266679.631749651394784,-3523527.901141859125346,384.041030316245440,-47.993487109639418,-0.917702457159520,
60556.358637856799760,-666287.638601110898890,-5266718.046718044206500,-3523528.635855136439204,384.043831569375698,-47.971066184446116,-0.917710056007341,
60556.358647123000992,-665980.169174443115480,-5266756.443735992535949,-3523529.370574495289475,384.046631513542650,-47.948645095760753,-0.917717651727351,
60556.358656389296812,-665672.697747938917018,-5266794.822773276828229,-3523530.105299357790500,384.049430146542761,-47.926223861244480,-0.917725244313555,
60556.358665655301593,-665365.233497027424164,-5266833.182685465551913,-3523530.840007798280567,384.052227384922617,-47.903803149982124,-0.917732833539541,
60556.358674921299098,-665057.767007521004416,-5266871.524647927843034,-3523531.574722312390804,384.055023314391860,-47.881382275478174,-0.917740419637817,
60557.354480346002674,-713616.039977309061214,-5260590.501650717109442,-3523414.816637219395489,383.596969985028636,-51.422316155318825,-0.916498027201460,
60557.354491926897026,-713232.212675800896250,-5260641.940592752769589,-3523415.733680517878383,383.600720958211696,-51.394326946685709,-0.916508125316692,
60557.354503507900517,-712848.381381093058735,-5260693.351561047136784,-3523416.650734493043274,383.604469891523024,-51.366337446862730,-0.916518218558989,
60557.354515088896733,-712464.546336238156073,-5260744.734523017890751,-3523417.567798564210534,383.608216782586908,-51.338347673573807,-0.916528306921942,
60557.355013070700807,-695956.122453598771244,-5262927.703825946897268,-3523457.011031924746931,383.767400834669843,-50.134530960904542,-0.916957489877936,
60557.355036232700513,-695188.122739337966777,-5263027.976637781597674,-3523458.846048796549439,383.774712816711030,-50.078527377638736,-0.916977232235204,
60557.355047813602141,-694804.117397071677260,-5263078.071015690453351,-3523459.763572043273598,383.778365743009715,-50.050525186021929,-0.916987096091202,
60557.355059394598356,-694420.108400724013336,-5263128.137374581769109,-3523460.681105156429112,383.782016626135203,-50.022522727944263,-0.916996955065362,
60557.355070975601848,-694036.095993466791697,-5263178.175682776607573,-3523461.598647556267679,383.785665463777264,-49.994520021138413,-0.917006809151460,
60557.355082556598063,-693652.079694940592162,-5263228.186002865433693,-3523462.516200390644372,383.789312260500424,-49.966517030575631,-0.917016658361816,
60557.355511052599468,-679440.930840606335551,-5265058.867494965903461,-3523496.472536958754063,383.922807171062175,-48.930220735770774,-0.917377646631106,
60557.355557376497018,-677904.295736257568933,-5265254.480809364467859,-3523500.144289560150355,383.937071466500129,-48.818167214858718,-0.917416271953996,
