tSec,dx,dy,dz,dvx,dvy,dvz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0
420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480.0,0.0,0.0,0.0,0.0,0.0,3.055333763768431e-13,0.0
540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260.0,0.0,0.0,1.0244548320770264e-08,0.0,0.0,0.0,0.0
1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0,0.0,0.0
1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1740.0,0.0,0.0,0.0,-1.0231815394945443e-12,0.0,0.0,0.0
1800.0,0.0,0.0,0.0,-9.663381206337363e-13,0.0,0.0,0.0
1860.0,0.0,0.0,0.0,-1.099564883588755e-12,0.0,0.0,0.0
1920.0,0.0,0.0,0.0,-1.0231815394945443e-12,0.0,0.0,0.0
1980.0,0.0,0.0,0.0,-9.094947017729282e-13,0.0,-1.000444171950221e-11,0.0
2040.0,0.0,0.0,1.0477378964424133e-09,-1.0231815394945443e-12,-1.000444171950221e-11,0.0,0.0
2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160.0,0.0,0.0,3.055902197957039e-10,0.0,0.0,0.0,0.0
2220.0,0.0,0.0,9.89530235528946e-10,0.0,0.0,0.0,0.0
2280.0,0.0,0.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0
2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2520.0,0.0,0.0,0.0,0.0,-1.0231815394945443e-12,0.0,0.0
2580.0,0.0,0.0,0.0,0.0,-9.094947017729282e-13,0.0,0.0
2640.0,0.0,0.0,0.0,0.0,-9.663381206337363e-13,0.0,0.0
2700.0,0.0,0.0,0.0,0.0,-1.3997691894473974e-12,0.0,0.0
2760.0,0.0,0.0,-9.778887033462524e-09,-1.000444171950221e-11,-1.0231815394945443e-12,-1.000444171950221e-11,0.0
2820.0,0.0,0.0,0.0,0.0,-1.9895196601282805e-12,-1.000444171950221e-11,0.0
2880.0,0.0,0.0,0.0,0.0,-2.0463630789890885e-12,-1.000444171950221e-11,0.0
2940.0,-1.0244548320770264e-08,0.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120.0,-9.778887033462524e-09,-1.0244548320770264e-08,0.0,0.0,-1.000444171950221e-11,0.0,0.0
3180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3240.0,0.0,0.0,-1.0244548320770264e-08,0.0,0.0,-1.000444171950221e-11,0.0
3300.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0,0.0,0.0
3360.0,0.0,0.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0
3420.0,-1.0477378964424133e-09,0.0,0.0,0.0,-1.000444171950221e-11,-1.000444171950221e-11,0.0
3480.0,-9.89530235528946e-10,0.0,-1.0244548320770264e-08,0.0,0.0,0.0,0.0
3540.0,-1.3023964129388332e-09,0.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0
3600.0,-9.89530235528946e-10,0.0,0.0,0.0,0.0,-1.000444171950221e-11,0.0
3660.0,-1.979060471057892e-09,-9.778887033462524e-09,0.0,0.0,0.0,-1.000444171950221e-11,0.0
3720.0,0.0,-1.0244548320770264e-08,-9.313225746154785e-09,-1.000444171950221e-11,-1.000444171950221e-11,-8.981260180007666e-12,0.0
3780.0,0.0,-1.0244548320770264e-08,-1.0244548320770264e-08,0.0,0.0,-9.038103598868474e-12,0.0
3840.0,0.0,0.0,-1.0244548320770264e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,0.0
3900.0,0.0,0.0,-9.313225746154785e-09,0.0,0.0,-1.0999201549566351e-11,0.0
3960.0,0.0,-1.0011717677116394e-08,0.0,0.0,-1.000444171950221e-11,-1.1027623258996755e-11,0.0
4020.0,0.0,-1.0011717677116394e-08,0.0,0.0,0.0,-1.1937117960769683e-11,0.0
4080.0,0.0,0.0,-1.0244548320770264e-08,0.0,0.0,-1.000444171950221e-11,0.0
4140.0,0.0,0.0,-1.0244548320770264e-08,0.0,0.0,-1.000444171950221e-11,0.0
4200.0,0.0,-6.05359673500061e-09,-1.0244548320770264e-08,1.000444171950221e-11,0.0,-1.000444171950221e-11,0.0
4260.0,0.0,-6.984919309616089e-09,-9.313225746154785e-09,0.0,0.0,-1.000444171950221e-11,0.0
4320.0,0.0,-5.995389074087143e-09,-1.0244548320770264e-08,0.0,0.0,-2.000888343900442e-11,0.0
4380.0,0.0,-6.79574441164732e-09,-1.0244548320770264e-08,1.000444171950221e-11,-1.000444171950221e-11,-1.000444171950221e-11,0.0
4440.0,0.0,-7.0140231400728226e-09,-1.0244548320770264e-08,1.000444171950221e-11,0.0,-1.000444171950221e-11,0.0
4500.0,0.0,-7.974449545145035e-09,-1.0244548320770264e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,0.0
4560.0,0.0,-6.984919309616089e-09,-1.0244548320770264e-08,1.000444171950221e-11,0.0,-2.000888343900442e-11,0.0
4620.0,0.0,-1.0011717677116394e-08,-9.313225746154785e-09,1.000444171950221e-11,-1.000444171950221e-11,-2.000888343900442e-11,0.0
4680.0,0.0,-1.0011717677116394e-08,-1.0244548320770264e-08,1.000444171950221e-11,0.0,-1.000444171950221e-11,0.0
4740.0,0.0,0.0,-1.0244548320770264e-08,1.000444171950221e-11,-1.000444171950221e-11,-2.000888343900442e-11,0.0
4800.0,0.0,-1.0011717677116394e-08,-2.0489096641540527e-08,1.000444171950221e-11,0.0,-2.000888343900442e-11,0.0
4860.0,0.0,-9.778887033462524e-09,-2.0489096641540527e-08,1.000444171950221e-11,0.0,-2.000888343900442e-11,0.0
4920.0,0.0,-9.778887033462524e-09,-2.0023435354232788e-08,1.000444171950221e-11,0.0,-1.000444171950221e-11,0.0
4980.0,9.313225746154785e-09,-9.778887033462524e-09,-2.0023435354232788e-08,2.000888343900442e-11,0.0,-2.000888343900442e-11,0.0
5040.0,1.0244548320770264e-08,-9.778887033462524e-09,-2.0023435354232788e-08,2.000888343900442e-11,0.0,-2.000888343900442e-11,0.0
5100.0,1.0244548320770264e-08,-9.778887033462524e-09,-2.0023435354232788e-08,1.7053025658242404e-11,1.000444171950221e-11,-2.000888343900442e-11,0.0
5160.0,9.313225746154785e-09,-1.0244548320770264e-08,-3.026798367500305e-08,1.6996182239381596e-11,1.000444171950221e-11,-1.000444171950221e-11,0.0
5220.0,1.0244548320770264e-08,-1.0244548320770264e-08,-2.9802322387695312e-08,1.830358087318018e-11,1.000444171950221e-11,-1.000444171950221e-11,0.0
5280.0,1.0244548320770264e-08,0.0,-3.003515303134918e-08,1.8985701899509877e-11,0.0,-1.000444171950221e-11,0.0
5340.0,1.0244548320770264e-08,0.0,-2.0023435354232788e-08,2.000888343900442e-11,1.000444171950221e-11,-9.094947017729282e-12,0.0
5400.0,1.0244548320770264e-08,0.0,-2.7008354663848877e-08,2.091837814077735e-11,1.000444171950221e-11,-1.000444171950221e-11,0.0
5460.0,1.955777406692505e-08,0.0,-2.7939677238464355e-08,1.978150976356119e-11,1.000444171950221e-11,-1.000444171950221e-11,0.0
5520.0,1.955777406692505e-08,-9.313225746154785e-09,-2.7997884899377823e-08,2.000888343900442e-11,1.000444171950221e-11,-1.000444171950221e-11,0.0
5580.0,9.313225746154785e-09,0.0,-2.9016518965363503e-08,2.000888343900442e-11,1.000444171950221e-11,0.0,0.0
5640.0,1.955777406692505e-08,0.0,-2.9103830456733704e-08,2.000888343900442e-11,9.777068044058979e-12,0.0,0.0
5700.0,2.0489096641540527e-08,-9.313225746154785e-09,-2.991873770952225e-08,2.000888343900442e-11,1.000444171950221e-11,0.0,0.0
5760.0,2.0489096641540527e-08,0.0,-3.003515303134918e-08,2.000888343900442e-11,1.000444171950221e-11,0.0,0.0
5820.0,1.955777406692505e-08,0.0,-3.003515303134918e-08,2.000888343900442e-11,1.000444171950221e-11,0.0,0.0
5880.0,2.0489096641540527e-08,1.0244548320770264e-08,-3.026798367500305e-08,2.000888343900442e-11,1.3983481039758772e-11,-1.000444171950221e-11,0.0
5940.0,2.0489096641540527e-08,0.0,-2.9802322387695312e-08,2.000888343900442e-11,1.5006662579253316e-11,0.0,0.0
6000.0,2.9802322387695312e-08,1.0244548320770264e-08,-3.026798367500305e-08,2.000888343900442e-11,1.5973000699887052e-11,0.0,0.0
6060.0,1.955777406692505e-08,0.0,-2.9802322387695312e-08,2.000888343900442e-11,1.4992451724538114e-11,0.0,0.0
6120.0,1.955777406692505e-08,0.0,-2.0023435354232788e-08,2.000888343900442e-11,1.6001422409317456e-11,1.000444171950221e-11,0.0
6180.0,2.0023435354232788e-08,1.0244548320770264e-08,-2.9802322387695312e-08,2.000888343900442e-11,1.5973000699887052e-11,1.000444171950221e-11,0.0
6240.0,3.026798367500305e-08,1.0244548320770264e-08,-2.0489096641540527e-08,2.000888343900442e-11,1.602984411874786e-11,1.000444171950221e-11,0.0
6300.0,2.0023435354232788e-08,1.0244548320770264e-08,-3.073364496231079e-08,2.000888343900442e-11,1.602984411874786e-11,1.000444171950221e-11,0.0
6360.0,3.026798367500305e-08,1.0244548320770264e-08,-2.9802322387695312e-08,2.000888343900442e-11,2.000888343900442e-11,2.000888343900442e-11,0.0
6420.0,3.026798367500305e-08,2.0489096641540527e-08,-2.9802322387695312e-08,1.000444171950221e-11,1.000444171950221e-11,2.000888343900442e-11,0.0
6480.0,3.026798367500305e-08,9.313225746154785e-09,-2.0489096641540527e-08,1.000444171950221e-11,1.000444171950221e-11,2.000888343900442e-11,0.0
6540.0,3.026798367500305e-08,1.955777406692505e-08,-2.0489096641540527e-08,1.000444171950221e-11,2.000888343900442e-11,2.000888343900442e-11,0.0
6600.0,2.9802322387695312e-08,1.0244548320770264e-08,-1.955777406692505e-08,1.000444171950221e-11,1.000444171950221e-11,2.000888343900442e-11,0.0
6660.0,3.003515303134918e-08,9.313225746154785e-09,-2.0489096641540527e-08,0.0,1.000444171950221e-11,2.000888343900442e-11,0.0
6720.0,3.003515303134918e-08,1.0244548320770264e-08,-1.955777406692505e-08,0.0,1.000444171950221e-11,2.000888343900442e-11,0.0
6780.0,3.189779818058014e-08,2.0023435354232788e-08,-1.955777406692505e-08,0.0,0.0,2.000888343900442e-11,0.0
6840.0,3.2014213502407074e-08,2.0023435354232788e-08,-1.955777406692505e-08,1.000444171950221e-11,0.0,2.000888343900442e-11,0.0
6900.0,3.198510967195034e-08,2.0023435354232788e-08,-1.955777406692505e-08,0.0,1.000444171950221e-11,3.001332515850663e-11,0.0
6960.0,3.2014213502407074e-08,1.0244548320770264e-08,-1.0244548320770264e-08,0.0,1.000444171950221e-11,2.000888343900442e-11,0.0
7020.0,3.2014213502407074e-08,2.0023435354232788e-08,-1.955777406692505e-08,0.0,1.000444171950221e-11,2.000888343900442e-11,0.0
7080.0,3.2014213502407074e-08,1.0244548320770264e-08,-1.0244548320770264e-08,0.0,1.000444171950221e-11,2.1941559680271894e-11,0.0
7140.0,3.003515303134918e-08,2.0023435354232788e-08,-9.313225746154785e-09,0.0,0.0,2.091837814077735e-11,0.0
7200.0,2.9802322387695312e-08,2.0023435354232788e-08,-1.0244548320770264e-08,-1.000444171950221e-11,0.0,2.100364326906856e-11,0.0
7260.0,3.003515303134918e-08,2.0023435354232788e-08,0.0,-1.000444171950221e-11,0.0,2.000888343900442e-11,0.0
7320.0,2.9802322387695312e-08,1.0244548320770264e-08,0.0,-1.000444171950221e-11,0.0,2.000888343900442e-11,0.0
7380.0,3.026798367500305e-08,2.0023435354232788e-08,1.0244548320770264e-08,-1.000444171950221e-11,0.0,1.8985701899509877e-11,0.0
7440.0,2.0023435354232788e-08,2.0023435354232788e-08,0.0,-2.000888343900442e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7500.0,2.0023435354232788e-08,1.979060471057892e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7560.0,2.0023435354232788e-08,2.0023435354232788e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7620.0,2.9802322387695312e-08,1.501757651567459e-08,0.0,-2.000888343900442e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7680.0,2.0489096641540527e-08,1.4028046280145645e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7740.0,2.9802322387695312e-08,1.3998942449688911e-08,0.0,-2.000888343900442e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
7800.0,2.0489096641540527e-08,1.2994860298931599e-08,0.0,-2.000888343900442e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
7860.0,2.0489096641540527e-08,1.2980308383703232e-08,0.0,-2.000888343900442e-11,-1.000444171950221e-11,2.000888343900442e-11,0.0
7920.0,2.0489096641540527e-08,1.2922100722789764e-08,1.0244548320770264e-08,-2.000888343900442e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
7980.0,2.0489096641540527e-08,1.1990778148174286e-08,1.0244548320770264e-08,-2.000888343900442e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
8040.0,2.0489096641540527e-08,2.0023435354232788e-08,0.0,-1.000444171950221e-11,-1.000444171950221e-11,0.0,0.0
8100.0,1.955777406692505e-08,1.0011717677116394e-08,1.0244548320770264e-08,-2.000888343900442e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
8160.0,2.0489096641540527e-08,1.0011717677116394e-08,9.313225746154785e-09,-1.000444171950221e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
8220.0,2.0489096641540527e-08,9.778887033462524e-09,1.0244548320770264e-08,-1.000444171950221e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
8280.0,2.0489096641540527e-08,9.778887033462524e-09,1.0244548320770264e-08,-1.000444171950221e-11,-1.000444171950221e-11,0.0,0.0
8340.0,9.313225746154785e-09,9.778887033462524e-09,1.0244548320770264e-08,-1.000444171950221e-11,-1.000444171950221e-11,1.000444171950221e-11,0.0
8400.0,2.0489096641540527e-08,0.0,1.0244548320770264e-08,-1.000444171950221e-11,-1.000444171950221e-11,0.0,0.0
