tSec,x,y,z,vx,vy,vz,
0,-1049836.53140614,-4275236.47811528,-6337381.51549226,5944.44654618582,2819.96862017239,-2885.42106463156,
60,-691720.244636728,-4099469.52493016,-6500527.28772722,5989.66307545016,3037.40296838559,-2551.36570488565,
120,-331450.123559087,-3910937.96461186,-6643387.1996799,6016.22345231561,3245.34617298825,-2209.40109747213,
180,29851.8727601679,-3710230.64623178,-6765518.48643362,6024.05089723075,3443.15732572386,-1860.59050847901,
240,391060.898558308,-3497973.93632178,-6866542.79570743,6013.12597599502,3630.22704799701,-1506.01723050984,
300,751052.662132136,-3274829.77457089,-6946147.29330399,5983.48657122101,3805.9792290072,-1146.7813640748,
360,1108706.85935502,-3041493.62805463,-7004085.57335282,5935.22767054433,3969.8726637719,-783.996536570351,
420,1462910.58961061,-2798692.3506657,-7040178.37105826,5868.50099512912,4121.40257349641,-418.786608823024,
480,1812561.74497677,-2547181.9542486,-7054314.07801762,5783.51448177101,4260.10204063876,-52.2823821109551,
540,2156572.36353192,-2287745.29549051,-7046449.05918753,5680.53159639885,4385.54337129671,314.3817209057,
600,2493871.93591085,-2021189.68524357,-7016607.77051084,5559.87046921873,4497.33930766122,680.070972715436,
660,2823410.65628036,-1748344.43016089,-6964882.67891039,5421.90291897858,4595.14407963538,1043.65360868532,
720,3144162.61236275,-1470058.31438632,-6891433.9874157,5267.05339275962,4678.65436108737,1404.00406127513,
780,3455128.90829227,-1187197.02616886,-6796489.16670938,5095.79778241304,4747.61014584572,1760.0061759538,
840,3755340.71284331,-900640.534870309,-6680342.29492028,4908.66212802593,4801.79552460405,2110.55638375705,
900,4043862.2277067,-611280.423934191,-6543353.20821737,4706.22125504942,4841.0393826958,2454.56684366183,
960,4319793.57192515,-320017.183353374,-6385946.46194124,4489.09733055638,4865.21605562634,2790.9686303176,
1020,4582273.57458081,-27757.4645890647,-6208610.09767288,4257.95822758211,4874.2459108777,3118.71501181611,
1080,4830482.46159855,264588.694613055,-6011894.21300761,4013.51563514938,4868.09575454437,3436.7847235154,
1140,5063644.42366082,556110.66363029,-5796409.33826755,3756.52300760536,4846.77903987384,3744.18512000234,
1200,5281030.05877247,845900.020724502,-5562824.62764891,3487.77344107208,4810.35594930297,4039.95521986788,
1260,5481958.6847756,1133053.35698549,-5311865.86935915,3208.0974533486,4758.93338437777,4323.1686996146,
1320,5665800.514771,1416675.07640046,-5044313.31752473,2918.36063226405,4692.66484231925,4592.9368374769,
1380,5831978.68751255,1695880.18470909,-4760999.34939106,2619.46115414713,4611.75016517048,4848.41139238544,
1440,5979971.14496443,1969797.05927127,-4462805.95168044,2312.32716842078,4516.43515516251,5088.78742029159,
1500,6109312.34856432,2237570.19126355,-4150662.04004527,1997.914035444,4407.01103282792,5313.30601675515,
