tSec,x,y,z,vx,vy,vz,
0,-1049836.53140614,-4275236.47811528,-6337381.51549226,5944.44654618582,2819.96862017239,-2885.42106463156,
60,-691720.244637217,-4099469.5249304,-6500527.28772699,5989.66307543385,3037.40296837758,-2551.36570487822,
120,-331450.123561047,-3910937.96461284,-6643387.19967903,6016.22345228285,3245.34617297164,-2209.40109745817,
180,29851.8727557481,-3710230.64623402,-6765518.48643174,6024.05089718152,3443.15732569812,-1860.59050845945,
240,391060.898550441,-3497973.93632585,-6866542.79570423,6013.12597592936,3630.22704796166,-1506.0172304856,
300,751052.662119839,-3274829.77457738,-6946147.29329922,5983.486571139,3805.97922896182,-1146.78136404675,
360,1108706.85933732,-3041493.62806416,-7004085.57334627,5935.22767044604,3969.87266371609,-783.996536539331,
420,1462910.5895865,-2798692.35067891,-7040178.37104978,5868.50099501308,4121.40257342871,-418.786608789663,
480,1812561.7449451,-2547181.95426629,-7054314.07800708,5783.51448163513,4260.10204055728,-52.2823820759125,
540,2156572.36349154,-2287745.29551348,-7046449.05917486,5680.53159624463,4385.54337120211,314.381720941625,
600,2493871.9358607,-2021189.68527259,-7016607.770496,5559.87046904773,4497.33930755439,680.070972751731,
660,2823410.65621948,-1748344.43019666,-6964882.67889337,5421.90291879232,4595.14407951733,1043.65360872178,
720,3144162.61229028,-1470058.31442949,-6891433.98739648,5267.05339255949,4678.65436095919,1404.0040613119,
780,3455128.90820741,-1187197.02621999,-6796489.16668793,5095.79778220023,4747.61014570852,1760.0061759913,
840,3755340.71274532,-900640.534929917,-6680342.29489655,4908.6621278013,4801.7955244589,2110.556383796,
900,4043862.22759489,-611280.424002723,-6543353.20819124,4706.22125481354,4841.03938254363,2454.5668437032,
960,4319793.57179886,-320017.183431228,-6385946.46191252,4489.09733030942,4865.21605546791,2790.96863036254,
1020,4582273.57443937,-27757.464676597,-6208610.09764133,4257.95822732385,4874.24591071357,3118.71501186593,
1080,4830482.46144126,264588.694515511,-6011894.21297288,4013.5156348792,4868.09575437484,3436.78472357149,
1140,5063644.42348694,556110.663522415,-5796409.33822923,3756.52300732222,4846.77903969894,3744.18512006613,
1200,5281030.05858117,845900.020605965,-5562824.6276065,3487.77344077458,4810.35594912243,4039.95521994079,
1260,5481958.68456598,1133053.35685593,-5311865.86931206,3208.09745303495,4758.93338419101,4323.16869969798,
1320,5665800.51454202,1416675.0762595,-5044313.31747228,2918.36063193211,4692.66484212536,4592.93683757197,
1380,5831978.68726304,1695880.18455625,-4760999.34933253,2619.46115379444,4611.7501649682,4848.41139249326,
1440,5979971.14469307,1969797.059106,-4462805.95161504,2312.32716804457,4516.43515495027,5088.78742041299,
1500,6109312.34826961,2237570.19108519,-4150662.03997217,1997.91403504125,4407.01103260379,5313.30601689071,
1560,6219594.82505457,2498362.89012035,-3825540.61694457,1677.2014189788,4283.81372719246,5521.25695198048,
1620,6310470.53528161,2751359.94141494,-3488455.77577589,1351.1902432298,4147.22300197184,5711.98116945089,
1680,6381652.05357929,2995770.20521773,-3140459.55899354,1020.8995299263,3997.66140619044,5884.87312397908,
1740,6432913.55809767,3230829.14845028,-2782638.68216847,687.36316394754,3835.59306686309,6039.38293780483,
1800,6464091.62383938,3455801.29979242,-2416111.1330822,351.626600485282,3661.52234699468,6175.01840651104,
1860,6475085.81575091,3669982.6196297,-2042022.65399651,14.7434720075126,3475.99233829943,6291.34688807967,
1920,6465859.07404552,3872702.77303389,-1661543.11566576,-322.227944259119,3279.58313091081,6387.997001763,
1980,6436437.88441059,4063327.2922638,-1275862.7982885,-658.228348085338,3072.90986899005,6464.66001380618,
2040,6386912.23124532,4241259.61800748,-886188.600213015,-992.201004958079,2856.62067012738,6521.09086382116,
2100,6317435.3390082,4405943.01409946,-493740.193845006,-1323.09521630929,2631.39449887069,6557.10892150548,
2160,6228223.20819988,4556862.35380428,-99746.1409839972,-1649.86970939146,2397.93900586898,6572.59859659242,
2220,6119553.94801308,4693545.77394891,294560.024893693,-1971.4960383156,2156.98827146573,6567.50982371575,
2280,5991766.9035218,4815566.1892786,687943.739776841,-2286.96202824301,1909.30039799838,6541.8583408751,
2340,5845261.57632338,4922542.65782591,1079173.35853083,-2595.27520123213,1655.65495828437,6495.72567850284,
2400,5680496.34224442,5014141.59029798,1467024.09465831,-2895.46610578315,1396.85035852768,6429.25885464058,
2460,5497986.97275243,5090077.79990815,1850281.93416671,-3186.59153353,1133.70115950933,6342.66982418188,
2520,5298304.96620269,5150115.39011865,2227747.50946629,-3467.73764162929,867.035349707046,6236.23469371044,
2580,5082075.69523046,5194068.47729521,2598239.91858557,-3738.02294991431,597.691573212524,6110.29268466844,
2640,4849976.37908938,5221801.74636531,2960600.47544928,-3996.60117827699,326.516338431822,5965.2448822036,
2700,4602733.88988968,5233230.83850915,3313696.37983137,-4242.66395547857,54.3612071660981,5801.5528098711,
2760,4341122.39904718,5228322.56894407,3656424.29563435,-4475.44343568992,-217.920061089831,5619.73678340656,
2820,4065960.87103846,5207094.97241813,3987713.82149917,-4694.21475072044,-489.474383636461,5420.37396165865,
2880,3778110.41782295,5169617.17814968,4306530.83625588,-4898.29819298128,-759.45214908068,5204.09614546809,
2940,3478471.53022883,5116009.12091177,4611880.70832908,-5087.06114689975,-1027.00988635864,4971.58746347709,
3000,3167981.19880306,5046441.09476516,4902811.36452951,-5259.91985396632,-1291.31285057383,4723.58199755157,
3060,2847609.93276018,4961133.15295979,5178416.21369925,-5416.34104348988,-1551.53756847487,4460.8613115394,
