tSec,ra,dec,range,range_rate,
0,99999999,99999999,99999999,99999999,
10,99999999,99999999,99999999,99999999,
20,99999999,99999999,99999999,99999999,
30,99999999,99999999,99999999,99999999,
40,99999999,99999999,99999999,99999999,
50,99999999,99999999,99999999,99999999,
60,99999999,99999999,99999999,99999999,
70,99999999,99999999,99999999,99999999,
80,99999999,99999999,99999999,99999999,
90,99999999,99999999,99999999,99999999,
100,99999999,99999999,99999999,99999999,
110,99999999,99999999,99999999,99999999,
120,99999999,99999999,99999999,99999999,
130,99999999,99999999,99999999,99999999,
140,99999999,99999999,99999999,99999999,
150,99999999,99999999,99999999,99999999,
160,99999999,99999999,99999999,99999999,
170,99999999,99999999,99999999,99999999,
180,99999999,99999999,99999999,99999999,
190,99999999,99999999,99999999,99999999,
200,99999999,99999999,99999999,99999999,
210,99999999,99999999,99999999,99999999,
220,99999999,99999999,99999999,99999999,
230,99999999,99999999,99999999,99999999,
240,99999999,99999999,99999999,99999999,
250,99999999,99999999,99999999,99999999,
260,99999999,99999999,99999999,99999999,
270,99999999,99999999,99999999,99999999,
280,99999999,99999999,99999999,99999999,
290,99999999,99999999,99999999,99999999,
300,99999999,99999999,99999999,99999999,
310,99999999,99999999,99999999,99999999,
320,99999999,99999999,99999999,99999999,
330,99999999,99999999,99999999,99999999,
340,99999999,99999999,99999999,99999999,
350,99999999,99999999,99999999,99999999,
360,99999999,99999999,99999999,99999999,
370,99999999,99999999,99999999,99999999,
380,99999999,99999999,99999999,99999999,
390,99999999,99999999,99999999,99999999,
400,99999999,99999999,99999999,99999999,
410,99999999,99999999,99999999,99999999,
420,99999999,99999999,99999999,99999999,
430,99999999,99999999,99999999,99999999,
440,99999999,99999999,99999999,99999999,
450,99999999,99999999,99999999,99999999,
460,99999999,99999999,99999999,99999999,
470,99999999,99999999,99999999,99999999,
480,99999999,99999999,99999999,99999999,
490,99999999,99999999,99999999,99999999,
500,99999999,99999999,99999999,99999999,
510,99999999,99999999,99999999,99999999,
520,99999999,99999999,99999999,99999999,
530,99999999,99999999,99999999,99999999,
540,99999999,99999999,99999999,99999999,
550,99999999,99999999,99999999,99999999,
560,99999999,99999999,99999999,99999999,
570,99999999,99999999,99999999,99999999,
580,99999999,99999999,99999999,99999999,
590,99999999,99999999,99999999,99999999,
600,99999999,99999999,99999999,99999999,
610,99999999,99999999,99999999,99999999,
620,99999999,99999999,99999999,99999999,
630,99999999,99999999,99999999,99999999,
640,99999999,99999999,99999999,99999999,
650,99999999,99999999,99999999,99999999,
660,99999999,99999999,99999999,99999999,
670,99999999,99999999,99999999,99999999,
680,99999999,99999999,99999999,99999999,
690,99999999,99999999,99999999,99999999,
700,99999999,99999999,99999999,99999999,
710,99999999,99999999,99999999,99999999,
720,99999999,99999999,99999999,99999999,
730,99999999,99999999,99999999,99999999,
740,99999999,99999999,99999999,99999999,
750,99999999,99999999,99999999,99999999,
760,99999999,99999999,99999999,99999999,
770,99999999,99999999,99999999,99999999,
780,99999999,99999999,99999999,99999999,
790,99999999,99999999,99999999,99999999,
800,99999999,99999999,99999999,99999999,
810,99999999,99999999,99999999,99999999,
820,99999999,99999999,99999999,99999999,
830,99999999,99999999,99999999,99999999,
840,99999999,99999999,99999999,99999999,
850,99999999,99999999,99999999,99999999,
860,99999999,99999999,99999999,99999999,
870,99999999,99999999,99999999,99999999,
880,99999999,99999999,99999999,99999999,
890,99999999,99999999,99999999,99999999,
900,99999999,99999999,99999999,99999999,
910,99999999,99999999,99999999,99999999,
920,99999999,99999999,99999999,99999999,
930,99999999,99999999,99999999,99999999,
940,99999999,99999999,99999999,99999999,
950,99999999,99999999,99999999,99999999,
960,99999999,99999999,99999999,99999999,
970,99999999,99999999,99999999,99999999,
980,99999999,99999999,99999999,99999999,
990,99999999,99999999,99999999,99999999,
1000,99999999,99999999,99999999,99999999,
1010,99999999,99999999,99999999,99999999,
1020,99999999,99999999,99999999,99999999,
1030,99999999,99999999,99999999,99999999,
1040,99999999,99999999,99999999,99999999,
1050,99999999,99999999,99999999,99999999,
1060,0.188886652969387,0.00115049685665008,2974923.71754373,-6647.10902839372,
1070,0.194234232035434,0.0119730101468157,2908496.06922187,-6638.20205023547,
1080,0.1998331322751,0.0230451952699064,2842164.21744149,-6627.93229386181,
1090,0.20570248596246,0.034383863258046,2775942.33256702,-6616.18921083987,
1100,0.211863373324459,0.0460072595105759,2709845.75412557,-6602.84923708104,
1110,0.218339072013246,0.0579352043266642,2643891.129787,-6587.77398436715,
1120,0.225155344989003,0.0701892472455303,2578096.57381432,-6570.80814727705,
1130,0.232340773691995,0.0827928360311062,2512481.8480672,-6551.7770768666,
1140,0.239927144775053,0.0957715009182997,2447068.56916936,-6530.4839638871,
1150,0.247949900369755,0.109153054364429,2381880.44607146,-6506.70656437218,
1160,0.256448663943816,0.122967805953416,2316943.55296862,-6480.19338896605,
1170,0.265467856363437,0.137248791185344,2252286.64338204,-6450.6592643645,
1180,0.275057419912058,0.152032011515013,2187941.51220121,-6417.78016078182,
1190,0.285273671869136,0.167356680990847,2123943.4136217,-6381.18716375399,
1200,0.29618031397709,0.18326547192632,2060331.5442107,-6340.45945250917,
1210,0.30784962990526,0.19980474784295,1997149.60178788,-6295.11613182851,
1220,0.320363909860264,0.217024765949176,1934446.43240596,-6244.60675194989,
1230,0.333817150001764,0.234979822964227,1872276.77940607,-6188.30034516706,
1240,0.348317084482411,0.253728306207271,1810702.15021583,-6125.47281480908,
1250,0.363987619822746,0.273332595261763,1749791.81808848,-6055.29253909492,
1260,0.380971754809374,0.293858736483894,1689623.97707041,-5976.80411735072,
1270,0.399435083548132,0.31537578093815,1630287.06867328,-5888.91030444604,
1280,0.41956999317258,0.337954633236326,1571881.2973265,-5790.35238550304,
1290,0.44160067776523,0.36166620096445,1514520.3476202,-5679.68957754955,
1300,0.465789089984229,0.386578558453706,1458333.30806018,-5555.27856607535,
1310,0.49244192997579,0.412752741781206,1403466.79131856,-5415.25506642489,
1320,0.521918706319966,0.440236673730972,1350087.21674575,-5257.52042906996,
1330,0.554640759227688,0.469056583716441,1298383.18330474,-5079.73786838342,
1340,0.591100849768896,0.499205156733883,1248567.80549439,-4879.34493369872,
1350,0.631872389469608,0.53062555961259,1200880.80662643,-4653.5912994394,
1360,0.677616457489135,0.563190536249076,1155590.06000498,-4399.61354063321,
1370,0.729083214541773,0.596676086757706,1112992.14083451,-4114.56059230968,
