tSec,x,y,z,vx,vy,vz,
0,7007217.5,0,0,0,660.6,7550.9,
10,7006811.0614293,6605.87418830622,75507.5337463245,-81.2868951150624,660.562070164515,7550.46036721222,
20,7005591.79481069,13210.9860666901,151006.279855376,-162.563976377818,660.447539676613,7549.1424915645,
30,7003559.8472757,19814.5696948323,226487.456659138,-243.821445545229,660.256423413823,7546.94654417376,
40,7000715.46392512,26415.8593302498,301942.284770748,-325.049507251214,659.988746062219,7543.87281015104,
50,6997058.98779298,33014.0895262686,377361.988224311,-406.238370456223,659.644542093666,7539.92168857125,
60,6992590.85979597,39608.4952297675,452737.795614281,-487.37824990723,659.223855743199,7535.0936924184,
70,6987311.61866832,46198.3118787058,528060.941234159,-568.459367598462,658.726740988944,7529.38944850053,
80,6981221.90088201,52782.7754994749,603322.666214198,-649.471954222729,658.153261537306,7522.80969734115,
90,6974322.44055258,59361.1228041406,678514.219657969,-730.406250614584,657.50349081643,7515.35529306056,
100,6966614.06933051,65932.591287668,753626.859777728,-811.252509199554,656.777511979436,7507.02720325421,
110,6958097.71627793,72496.4193252238,828651.855028513,-892.000995465093,655.975417915873,7497.82650885892,
120,6948774.40773057,79051.846269615,903580.485240765,-972.641989455255,655.0973112667,7487.75440398726,
130,6938645.26714467,85598.1125488698,978404.042751062,-1053.16578727293,654.143304436816,7476.81219571424,
140,6927711.51492896,92134.4597639093,1053113.83353048,-1133.56270256629,653.113519599812,7465.00130381759,
150,6915974.46826185,98660.1307862111,1127701.17831018,-1213.82306798607,652.008088691131,7452.32326048915,
160,6903435.54089428,105174.369855336,1202157.41370409,-1293.9372366193,650.827153387225,7438.77971003778,
170,6890096.24293816,111676.422676171,1276473.89332857,-1373.89558341816,649.570865070113,7424.37240859286,
180,6875958.18064057,118165.536515761,1350641.98891911,-1453.68850664144,648.239384780239,7409.10322380337,
190,6861023.0561434,124640.96029963,1424653.091444,-1533.30642931607,646.832883165392,7392.97413452145,
200,6845292.66722822,131101.94470763,1498498.61221466,-1612.73980072042,645.351540436476,7375.98723046139,
210,6828768.90704634,137547.742269403,1572169.98399241,-1691.97909789334,643.79554633784,7358.14471182543,
220,6811453.76383341,143977.60745963,1645658.66209129,-1771.01482717666,642.165100128921,7339.44888887813,
230,6793349.32060864,150390.796793064,1718956.12547621,-1849.83752578582,640.460410559256,7319.90218143464,
240,6774457.7548582,156786.568919178,1792053.87785541,-1928.43776336917,638.681695809376,7299.50711822549,
250,6754781.33820342,163164.184715951,1864943.44876584,-2006.80614347577,636.829183374344,7278.26633612857,
260,6734322.43605519,169522.907382165,1937616.39465044,-2084.93330483577,634.903109886954,7256.18257931904,
270,6713083.50725681,175862.002527744,2010064.29992694,-2162.8099223953,632.903720906639,7233.25869845233,
280,6691067.10371753,182180.738262003,2082278.77804922,-2240.42670813695,630.831270724391,7209.4976500224,
290,6668275.87003854,188478.385280273,2154251.47256369,-2317.77441182136,628.686022240623,7184.90249599626,
300,6644712.54313104,194754.216949848,2225974.05816327,-2394.84382184771,626.468246956889,7159.4764037204,
310,6620379.95182439,201007.509396474,2297438.24174146,-2471.62576640742,624.178225089563,7133.22264597053,
320,6595281.0164609,207237.541592471,2368635.76344671,-2548.11111499726,621.816245777479,7106.14460093758,
330,6569418.74847401,213443.595447195,2439558.39773543,-2624.29078021329,619.38260733039,7078.24575195515,
340,6542796.24994779,219624.955899935,2510197.95442064,-2700.15571964051,616.877617459395,7049.52968687571,
350,6515416.71315799,225780.911014826,2580546.2797127,-2775.69693763899,614.301593443394,7020.00009714228,
360,6487283.42009628,231910.752077002,2650595.25724987,-2850.90548690779,611.654862209034,6989.66077670573,
370,6458399.74197996,238013.773689111,2720336.80911793,-2925.77246983281,608.937760325003,6958.51562095357,
380,6428769.13874887,244089.273867405,2789762.89685968,-3000.28903971971,606.15063392693,6926.56862574542,
390,6398395.15855009,250136.554136834,2858865.52247522,-3074.44640202864,603.293838594121,6893.8238865447,
400,6367281.43720994,256154.919624723,2927636.72941376,-3148.23581566688,600.367739195924,6860.28559756114,
410,6335431.69769296,262143.679152827,2996068.60355647,-3221.64859430695,597.372709718037,6825.95805081488,
420,6302849.74954783,268102.145327552,3064153.2741895,-3294.67610764153,594.309133071577,6790.84563509187,
430,6269539.48834152,274029.634628174,3131882.91496602,-3367.30978249391,591.177400882848,6754.95283483629,
440,6235504.8950831,279925.467492852,3199249.74485745,-3439.54110376199,587.977913261647,6718.28422906978,
450,6200750.03563885,285788.968402223,3266246.02909415,-3511.36161524345,584.71107855125,6680.84449041713,
460,6165279.06013926,291619.465960459,3332864.08009724,-3582.76292043018,581.37731307344,6642.63838426751,
470,6129096.20237795,297416.292973843,3399096.25840243,-3653.73668335437,577.977040892862,6603.67076804119,
480,6092205.77920161,303178.786527218,3464934.97357692,-3724.27462952994,574.510693630697,6563.94659049547,
490,6054612.18989014,308906.288058913,3530372.68512918,-3794.36854698522,570.978710352096,6523.47089099926,
500,6016319.91552606,314598.143434969,3595401.90341111,-3864.01028734741,567.381537534522,6482.24879872854,
510,5977333.5183531,320253.703023382,3660015.19051168,-3933.19176692515,563.719629101001,6440.28553176844,
520,5937657.64112415,325872.32176887,3724205.16114125,-4001.90496774241,559.993446484435,6397.58639614008,
530,5897297.00643929,331453.359268284,3787964.48350586,-4070.14193849668,556.203458685496,6354.1567847903,
540,5856256.41607451,336996.179846445,3851285.88017143,-4137.89479544055,552.350142299081,6310.00217658748,
550,5814540.75030208,342500.152632067,3914162.12891817,-4205.15572320749,548.433981504911,6265.1281353555,
