TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
0,7006738.01693324,-2077.75834023027,-1097.96175938559,3.47920269126374,660.723087322932,7548.33297452259,148099999.984375,3.81469715354729e-06,9.53674288386823e-07,-3.72529018901103e-09,-92370.0000004768,-53330.0000152588,3.81469715354729e-06,28850000,9994000,-31210,1.16415318406595e-10,3.72529018901103e-09,9.53674288386823e-07,9994000,5770000,-12420,2.91038296016486e-11,9.31322547252757e-10,-3.72529018901103e-09,-31210,-12420,36.87,-1.1368683438144e-13,-3.63797870020608e-12,-92370.0000004768,1.16415318406595e-10,2.91038296016486e-11,-1.1368683438144e-13,67.9799999999855,31.4499999995343,-53330.0000152588,3.72529018901103e-09,9.31322547252757e-10,-3.63797870020608e-12,31.4499999995343,31.6599999850988,
10,7006366.31187153,4529.4672428126,74383.9657979019,-77.8193431193378,660.709255574899,7547.90617190396,148138108.292969,-1235877.10356903,-657456.562347412,3810.57091885805,-92370.887894392,-53304.5104408264,-1235877.10356903,28853454.4606417,9995983.21226734,-31231.2800949435,345.027412955649,198.030466757715,-657456.562347412,9995983.21226746,5772497.96695876,-12431.9951124252,198.468616480008,249.318067580462,3810.57091885805,-31231.2800949435,-12431.9951124252,36.9537260430059,-1.78415335956015,-1.09401475911727,-92370.887894392,345.027412956115,198.468616480008,-1.78415335956743,67.9750189729191,31.4304612770211,-53304.5104408264,198.030466765165,249.318067580462,-1.09401475911727,31.4304612770211,31.6376617571175,
20,7005181.66381408,11136.171308299,149857.234553355,-159.107766021698,660.618785260113,7546.60123547124,148252441.664062,-2472178.22067261,-1314633.75976562,7622.77425122261,-92370.4071760178,-53226.4302215576,-2472178.22065735,28863807.3881335,10001924.1431106,-31294.3848948791,689.798102337401,394.787458330393,-1314633.75976562,10001924.1431102,5779974.3920927,-12467.6700696889,396.459215905517,497.686172127724,7622.77425122261,-31294.3848948791,-12467.6700696889,37.2030297071276,-3.56668287599314,-2.18317232164554,-92370.4071750641,689.798102337401,396.459215905517,-3.56668287599314,67.9559728902921,31.369762733113,-53226.4302215576,394.787458330393,497.686172366142,-2.18317232164554,31.369762733113,31.5694028047681,
30,7003184.22289921,17741.587530197,225313.063997655,-240.376284601699,660.451689923308,7544.41834992307,148443048.859375,-3709307.48272705,-1971241.41137695,11438.224098444,-92368.5216422081,-53095.63230896,-3709307.48274231,28881050.7338121,10011796.3705668,-31399.2536425111,1034.02069989266,588.984955467284,-1971241.41137695,10011796.3705668,5792400.7108078,-12526.9102343544,593.47690486908,744.148556947708,11438.2240986824,-31399.2536425111,-12526.910234347,37.6176545965089,-5.34589424244768,-3.26258800411597,-92368.5216412544,1034.02069989266,593.47690486908,-5.34589424247679,67.9228771940496,31.2679799168836,-53095.63230896,588.984955467284,744.148556470871,-3.26258800411597,31.2679799168836,31.455482656306,
40,7000374.23706386,24344.9497664239,300742.676036394,-321.615120795758,660.207992806928,7541.35781353157,148710010.9375,-4947667.72024536,-2626986.10864258,15258.5282723904,-92365.17010355,-52911.904258728,-4947667.72027588,28905170.625432,10025555.6817694,-31545.7843755139,1377.404251948,779.339303821325,-2626986.10864258,10025555.6817694,5809729.30024719,-12609.5243504643,789.028405725956,987.755673885345,15258.5282723904,-31545.7843755139,-12609.5243504643,38.1971732191221,-7.12009609478264,-4.32738763350062,-92365.17010355,1377.404251948,789.028405725956,-7.12009609478264,67.8757583097711,31.125239843037,-52911.9042663574,779.339303821325,987.755673885345,-4.32738763396628,31.125239843037,31.2963345406413,
50,6996752.05200265,30945.4921557424,376137.296125424,-402.814501390029,659.887726834825,7537.42003806099,149053440.996094,-6187659.80212402,-3281569.59790039,19085.2851395607,-92360.2664461136,-52674.9485702515,-6187659.80212402,28936147.3776356,10043140.122839,-31733.8340113498,1719.65843726695,964.570408731699,-3281569.59790039,10043140.122839,5831893.63484192,-12715.2447967827,982.622877389193,1227.56730079651,19085.2851395607,-31733.8340113498,-12715.2447967529,38.940987370758,-8.88760148460278,-5.37271277559921,-92360.2664470673,1719.65843726695,982.622877448797,-8.88760148460278,67.8146536207594,30.9417208898813,-52674.9485778809,964.570408731699,1227.56730079651,-5.37271277513355,30.9417208898813,31.0925651697278,
60,6992318.11111183,37542.4492144913,451488.154405243,-483.964659511019,659.490934595681,7532.60554865401,149473483.945312,-7429681.97573853,-3934687.16943359,22920.0804686546,-92353.6997089386,-52384.3830032349,-7429681.97573853,28973955.5067763,10064470.0688839,-31963.2184661832,2060.49378438294,1143.40292671323,-3934687.16943359,10064470.0688839,5858808.50332642,-12843.7279405892,1173.7727329731,1462.65563106537,22920.0804686546,-31963.2184661832,-12843.7279406488,39.8483286691869,-10.6467293448804,-6.39372593746521,-92353.6997079849,2060.49378438294,1173.7727329731,-10.6467293448804,67.7396114356186,30.7176526389085,-52384.3830032349,1143.40292665362,1462.65563106537,-6.39372593746521,30.7176526389085,30.8449539711535,
70,6987072.95541854,44135.055933152,526786.486834077,-565.05583610476,659.017668326499,7526.91498368795,149970316.285156,-8674129.20983887,-4586026.0559082,26764.4842784405,-92345.3341879845,-52039.7409553528,-8674129.20983887,29018563.7500825,10089448.3141022,-32233.7128075399,2399.62188826129,1314.56745243073,-4586026.05639648,10089448.3141022,5890370.28849792,-12994.5545918792,1361.99445536733,1692.10837054253,26764.4842784405,-32233.7128075399,-12994.5545918792,40.9182592358364,-12.3958059464057,-7.38561575836502,-92345.3341879845,2399.62188826501,1361.99445530772,-12.395805946464,67.6506909492844,30.4533156822436,-52039.7409553528,1314.56745243073,1692.10837054253,-7.3856157574337,30.4533156822436,30.5544526150286,
80,6981017.22349524,50722.5478727498,602023.536319397,-646.078281402233,658.467989896488,7520.34909460314,150544145.71875,-9921392.54003906,-5235263.83837891,30620.0476961136,-92335.0095720291,-51640.4719543457,-9921392.54003906,29069935.089148,10117960.1817932,-32545.0514402315,2736.75562625378,1476.80170083046,-5235263.83837891,10117960.1817894,5926457.30761719,-13167.2305569649,1546.80940809846,1915.03180599213,30620.0476961136,-32545.0514402315,-13167.2305569649,42.149672521972,-14.1331663436431,-8.34360216744244,-92335.0095720291,2736.75562625378,1546.80940821767,-14.1331663435849,67.5479621988295,30.1490413900465,-51640.4719543457,1476.80170089006,1915.03180599213,-8.34360216744244,30.1490413900465,30.22218417207,
90,6974151.65135961,57304.1612610985,677190.553847583,-727.022256369392,657.841970791648,7512.90874570664,151195210.757812,-11171858.418335,-5882066.859375,34488.2998304367,-92322.5410933495,-51185.9423522949,-11171858.418335,29128026.7777295,10149873.654335,-32896.9283251688,3071.60937330127,1628.85168194771,-5882066.85839844,10149873.654335,5966930.21569824,-13361.1872919798,1727.74464425445,2130.55386734009,34488.2998304367,-32896.9283251688,-13361.1872919798,43.5412942757783,-15.8571558083349,-9.26294150389731,-92322.5410933495,3071.60937330127,1727.74464425445,-15.8571558083349,67.4315060142933,29.8052116339095,-51185.9423446655,1628.85168194771,2130.55386638641,-9.26294150296599,29.8052116339095,29.8494421003222,
