UTC,MJD,X,Y,Z,VX,VY,VZ
2021-05-17T21:59:23.000000,59351.916238425925,-6003305.542,-2395970.3,4214939.01,4307.735773,-1523.65373,5264.418277
2021-05-17T22:00:23.000000,59351.91693287037,-5736059.031,-2484783.469,4524049.141,4598.296147,-1436.447782,5036.574253
2021-05-17T22:01:23.000000,59351.91762731481,-5451780.891,-2568305.112,4819013.844,4875.313571,-1347.295716,4793.028009
2021-05-17T22:02:23.000000,59351.91832175926,-5151309.042,-2646423.158,5098913.786,5137.950509,-1256.353735,4534.547469
2021-05-17T22:03:23.000000,59351.919016203705,-4835530.333,-2719034.847,5362877.096,5385.413836,-1163.776014,4261.946171
2021-05-17T22:04:23.000000,59351.91971064815,-4505377.815,-2786046.607,5610082.014,5616.95712,-1069.714588,3976.080586
2021-05-17T22:05:23.000000,59351.92040509259,-4161827.866,-2847373.921,5839759.388,5831.88274,-974.319271,3677.847329
2021-05-17T22:06:23.000000,59351.92109953704,-3805897.211,-2902941.194,6051194.996,6029.543854,-877.737595,3368.180292
2021-05-17T22:07:23.000000,59351.921793981484,-3438639.815,-2952681.612,6243731.691,6209.3462,-780.114781,3048.04766
2021-05-17T22:08:23.000000,59351.922488425924,-3061143.681,-2996537.005,6416771.373,6370.749703,-681.59374,2718.448869
2021-05-17T22:09:23.000000,59351.92318287037,-2674527.554,-3034457.711,6569776.768,6513.26991,-582.315137,2380.411536
2021-05-17T22:10:23.000000,59351.92387731482,-2279937.545,-3066402.442,6702273.025,6636.479354,-482.417494,2034.988341
2021-05-17T22:11:23.000000,59351.92457175926,-1878543.671,-3092338.16,6813849.129,6740.008791,-382.037266,1683.253762
2021-05-17T22:12:23.000000,59351.9252662037,-1471536.331,-3112239.953,6904159.097,6823.548164,-281.308921,1326.300668
2021-05-17T22:13:23.000000,59351.92596064815,-1060122.737,-3126090.921,6972922.988,6886.847264,-180.365068,965.23693
2021-05-17T22:14:23.000000,59351.92665509259,-645523.303,-3133882.071,7019927.701,6929.71621,-79.336665,601.182127
2021-05-17T22:15:23.000000,59351.927349537036,-228968.019,-3135612.222,7045027.579,6952.02579,21.646747,235.264277
2021-05-17T22:16:23.000000,59351.92804398148,188307.197,-3131287.93,7048144.818,6953.707677,122.456762,-131.383352
2021-05-17T22:17:23.000000,59351.92873842592,605064.161,-3120923.43,7029269.688,6934.754572,222.965832,-497.625421
2021-05-17T22:18:23.000000,59351.92943287037,1020066.081,-3104540.588,6988460.566,6895.220246,323.04701,-862.327705
2021-05-17T22:19:23.000000,59351.930127314816,1432081.221,-3082168.878,6925843.763,6835.219458,422.573699,-1224.360281
2021-05-17T22:20:23.000000,59351.93082175926,1839886.559,-3053845.364,6841613.181,6754.927802,521.419409,-1582.60073
2021-05-17T22:21:23.000000,59351.9315162037,2242271.423,-3019614.7,6736029.76,6654.581416,619.457559,-1935.937422
2021-05-17T22:22:23.000000,59351.93221064815,2638041.118,-2979529.145,6609420.727,6534.476487,716.561314,-2283.272874
2021-05-17T22:23:23.000000,59351.932905092595,3026020.502,-2933648.575,6462178.654,6394.968521,812.603431,-2623.527058
2021-05-17T22:24:23.000000,59351.933599537035,3405057.521,-2882040.521,6294760.307,6236.471455,907.456111,-2955.640668
2021-05-17T22:25:23.000000,59351.93429398148,3774026.684,-2824780.2,6107685.31,6059.456613,1000.990862,-3278.578353
2021-05-17T22:26:23.000000,59351.93498842593,4131832.472,-2761950.562,5901534.608,5864.451474,1093.078382,-3591.33192
2021-05-17T22:27:23.000000,59351.93568287037,4477412.664,-2693642.343,5676948.742,5652.038254,1183.58846,-3892.923473
2021-05-17T22:28:23.000000,59351.936377314814,4809741.574,-2619954.119,5434625.946,5422.852339,1272.389881,-4182.408444
2021-05-17T22:29:23.000000,59351.93707175926,5127833.196,-2540992.375,5175320.052,5177.580635,1359.350376,-4458.878586
2021-05-17T22:30:23.000000,59351.9377662037,5430744.235,-2456871.558,4899838.219,4916.95973,1444.336644,-4721.464987
2021-05-17T22:31:23.000000,59351.93846064815,5717577.033,-2367714.147,4609038.49,4641.773788,1527.214412,-4969.341036
2021-05-17T22:32:23.000000,59351.939155092594,5987482.348,-2273650.702,4303827.163,4352.852168,1607.848487,-5201.725241
2021-05-17T22:33:23.000000,59351.93984953704,6239661.993,-2174819.924,3985156.007,4051.066895,1686.102786,-5417.883807
2021-05-17T22:34:23.000000,59351.94054398148,6473371.319,-2071368.701,3654019.328,3737.33008,1761.84042,-5617.13303
2021-05-17T22:35:23.000000,59351.94123842593,6687921.54,-1963452.157,3311450.893,3412.591268,1834.923844,-5798.841618
2021-05-17T22:36:23.000000,59351.94193287037,6882681.893,-1851233.683,2958520.717,3077.8346,1905.21508,-5962.432924
2021-05-17T22:37:23.000000,59351.94262731481,7057081.63,-1734884.954,2596331.724,2734.07579,1972.575985,-6107.387039
2021-05-17T22:38:23.000000,59351.94332175926,7210611.81,-1614585.933,2226016.281,2382.35891,2036.868524,-6233.242705
2021-05-17T22:39:23.000000,59351.944016203706,7342826.905,-1490524.852,1848732.628,2023.753028,2097.955042,-6339.598996
2021-05-17T22:40:23.000000,59351.944710648146,7453346.194,-1362898.189,1465661.214,1659.348779,2155.698529,-6426.116782
2021-05-17T22:41:23.000000,59351.94540509259,7541854.956,-1231910.611,1078000.948,1290.254875,2209.962947,-6492.520027
2021-05-17T22:42:23.000000,59351.94609953704,7608105.442,-1097774.912,686965.381,917.594456,2260.613612,-6538.596904
2021-05-17T22:43:23.000000,59351.94679398148,7651917.631,-960711.913,293778.826,542.501284,2307.517592,-6564.200633
2021-05-17T22:44:23.000000,59351.947488425925,7673179.75,-820950.351,-100327.563,166.115907,2350.544114,-6569.249963
2021-05-17T22:45:23.000000,59351.94818287037,7671848.567,-678726.735,-494119.728,-210.418116,2389.564964,-6553.729397
2021-05-17T22:46:23.000000,59351.94887731481,7647949.463,-534285.177,-886364.656,-585.95796,2424.45489,-6517.689255
2021-05-17T22:47:23.000000,59351.94957175926,7601576.267,-387877.206,-1275834.324,-959.365349,2455.09204,-6461.245513
2021-05-17T22:48:23.000000,59351.950266203705,7532890.876,-239761.55,-1661309.626,-1329.510375,2481.3584,-6384.579322
2021-05-17T22:49:23.000000,59351.95096064815,7442122.636,-90203.892,-2041584.263,-1695.275206,2503.140215,-6287.936254
2021-05-17T22:50:23.000000,59351.95165509259,7329567.511,60523.4,-2415468.578,-2055.557683,2520.328414,-6171.625358
2021-05-17T22:51:23.000000,59351.95234953704,7195587.036,212141.563,-2781793.336,-2409.274847,2532.819062,-6036.01803
2021-05-17T22:52:23.000000,59351.953043981484,7040607.059,364365.765,-3139413.422,-2755.36639,2540.513825,-5881.54668
2021-05-17T22:53:23.000000,59351.953738425924,6865116.286,516905.455,-3487211.457,-3092.798023,2543.320449,-5708.703178
2021-05-17T22:54:23.000000,59351.95443287037,6669664.616,669464.738,-3824101.315,-3420.564768,2541.153238,-5518.037098
2021-05-17T22:55:23.000000,59351.95512731482,6454861.285,821742.788,-4149031.527,-3737.694128,2533.93352,-5310.153711
2021-05-17T22:56:23.000000,59351.95582175926,6221372.834,973434.281,-4460988.555,-4043.249063,2521.590066,-5085.711758
2021-05-17T22:57:23.000000,59351.9565162037,5969920.89,1124229.849,-4758999.931,-4336.330746,2504.059526,-4845.421083
2021-05-17T22:58:23.000000,59351.95721064815,5701279.799,1273816.576,-5042137.249,-4616.081129,2481.286872,-4590.04015
2021-05-17T22:59:23.000000,59351.95790509259,5416274.108,1421878.501,-5309519.005,-4881.68534,2453.225858,-4320.373472
2021-05-17T23:00:23.000000,59351.958599537036,5115775.902,1568097.164,-5560313.281,-5132.37395,2419.839455,-4037.268921
2021-05-17T23:01:23.000000,59351.95929398148,4800702.017,1712152.173,-5793740.262,-5367.425062,2381.100274,-3741.614939
2021-05-17T23:02:23.000000,59351.95998842592,4472011.128,1853721.788,-6009074.585,-5586.166223,2336.990993,-3434.337653
2021-05-17T23:03:23.000000,59351.96068287037,4130700.729,1992483.546,-6205647.511,-5787.976172,2287.504765,-3116.397932
2021-05-17T23:04:23.000000,59351.961377314816,3777804.017,2128114.895,-6382848.92,-5972.286442,2232.645624,-2788.788348
2021-05-17T23:05:23.000000,59351.96207175926,3414386.672,2260293.861,-6540129.122,-6138.582759,2172.428876,-2452.530053
2021-05-17T23:06:23.000000,59351.9627662037,3041543.58,2388699.739,-6677000.469,-6286.406247,2106.881501,-2108.669617
2021-05-17T23:07:23.000000,59351.96346064815,2660395.466,2513013.802,-6793038.796,-6415.354458,2036.042552,-1758.275852
2021-05-17T23:08:23.000000,59351.964155092595,2272085.491,2632920.036,-6887884.651,-6525.082247,1959.963555,-1402.436595
2021-05-17T23:09:23.000000,59351.964849537035,1877775.787,2748105.906,-6961244.343,-6615.302473,1878.708888,-1042.255499
2021-05-17T23:10:23.000000,59351.96554398148,1478643.956,2858263.132,-7012890.793,-6685.786596,1792.356145,-678.848838
2021-05-17T23:11:23.000000,59351.96623842593,1075879.545,2963088.495,-7042664.201,-6736.365183,1700.996429,-313.342265
2021-05-17T23:12:23.000000,59351.96693287037,670680.484,3062284.652,-7050472.499,-6766.928227,1604.73461,53.132501
2021-05-17T23:13:23.000000,59351.967627314814,264249.517,3155560.974,-7036291.627,-6777.425273,1503.689575,419.440967
2021-05-17T23:14:23.000000,59351.96832175926,-142209.371,3242634.391,-7000165.591,-6767.865423,1397.994474,784.449167
2021-05-17T23:15:23.000000,59351.9690162037,-547494.527,3323230.252,-6942206.339,-6738.317198,1287.796896,1147.026988
2021-05-17T23:16:23.000000,59351.96971064815,-950410.18,3397083.202,-6862593.426,-6688.908183,1173.258979,1506.051484
2021-05-17T23:17:23.000000,59351.970405092594,-1349769.977,3463938.049,-6761573.487,-6619.824515,1054.557515,1860.410117
2021-05-17T23:18:23.000000,59351.97109953704,-1744400.472,3523550.654,-6639459.519,-6531.31027,931.88405,2209.003965
2021-05-17T23:19:23.000000,59351.97179398148,-2133144.586,3575688.812,-6496629.963,-6423.666729,805.444937,2550.750917
2021-05-17T23:20:23.000000,59351.97248842593,-2514865.01,3620133.147,-6333527.604,-6297.251515,675.461346,2884.588854
2021-05-17T23:21:23.000000,59351.97318287037,-2888447.558,3656677.993,-6150658.277,-6152.477595,542.169209,3209.478812
2021-05-17T23:22:23.000000,59351.97387731481,-3252804.456,3685132.283,-5948589.379,-5989.812167,405.819107,3524.408128
2021-05-17T23:23:23.000000,59351.97457175926,-3606877.557,3705320.418,-5727948.201,-5809.775399,266.676051,3828.393586
2021-05-17T23:24:23.000000,59351.975266203706,-3949641.478,3717083.123,-5489420.063,-5612.938977,125.019159,4120.484536
2021-05-17T23:25:23.000000,59351.975960648146,-4280106.64,3720278.288,-5233746.272,-5399.924445,-18.858754,4399.765954
2021-05-17T23:26:23.000000,59351.97665509259,-4597322.209,3714781.765,-4961721.896,-5171.401324,-164.65164,4665.361344
2021-05-17T23:27:23.000000,59351.97734953704,-4900378.909,3700488.159,-4674193.365,-4928.085149,-312.040692,4916.435494
2021-05-17T23:28:23.000000,59351.97804398148,-5188411.729,3677311.572,-4372055.918,-4670.735461,-460.694874,5152.197158
2021-05-17T23:29:23.000000,59351.978738425925,-5460602.496,3645186.317,-4056250.88,-4400.153658,-610.271554,5371.901763
2021-05-17T23:30:23.000000,59351.97943287037,-5716182.318,3604067.598,-3727762.787,-4117.180609,-760.417245,5574.854043
2021-05-17T23:31:23.000000,59351.98012731481,-5954433.876,3553932.132,-3387616.347,-3822.694059,-910.768421,5760.410481
2021-05-17T23:32:23.000000,59351.98082175926,-6174693.553,3494778.726,-3036873.273,-3517.605934,-1060.952401,5927.981585
2021-05-17T23:33:23.000000,59351.981516203705,-6376353.403,3426628.801,-2676628.969,-3202.859515,-1210.588303,6077.034023
2021-05-17T23:34:23.000000,59351.98221064815,-6558862.945,3349526.849,-2308009.107,-2879.426442,-1359.288074,6207.092631
2021-05-17T23:35:23.000000,59351.98290509259,-6721730.765,3263540.834,-1932166.075,-2548.30354,-1506.657568,6317.742182
2021-05-17T23:36:23.000000,59351.98359953704,-6864525.936,3168762.526,-1550275.343,-2210.509581,-1652.297675,6408.628927
2021-05-17T23:37:23.000000,59351.984293981484,-6986879.232,3065307.757,-1163531.721,-1867.081979,-1795.805518,6479.461941
2021-05-17T23:38:23.000000,59351.984988425924,-7088484.146,2953316.615,-773145.566,-1519.073355,-1936.77573,6530.014305
2021-05-17T23:39:23.000000,59351.98568287037,-7169097.693,2832953.553,-380338.902,-1167.547933,-2074.801764,6560.123983
2021-05-17T23:40:23.000000,59351.98637731482,-7228541.003,2704407.416,13658.483,-813.577909,-2209.477203,6569.694372
2021-05-17T23:41:23.000000,59351.98707175926,-7266699.682,2567891.402,407612.976,-458.23987,-2340.397041,6558.694571
2021-05-17T23:42:23.000000,59351.9877662037,-7283523.977,2423642.932,800291.082,-102.611256,-2467.158982,6527.159455
2021-05-17T23:43:23.000000,59351.98846064815,-7279028.72,2271923.451,1190463.371,252.233179,-2589.364771,6475.189556
2021-05-17T23:44:23.000000,59351.98915509259,-7253293.056,2113018.145,1576908.406,605.224914,-2706.621529,6402.950694
2021-05-17T23:45:23.000000,59351.989849537036,-7206459.969,1947235.577,1958416.642,955.305152,-2818.543094,6310.67335
2021-05-17T23:46:23.000000,59351.99054398148,-7138735.592,1774907.245,2333794.283,1301.428238,-2924.751378,6198.651836
2021-05-17T23:47:23.000000,59351.99123842592,-7050388.319,1596387.057,2701867.08,1642.565067,-3024.877716,6067.243238
2021-05-17T23:48:23.000000,59351.99193287037,-6941747.709,1412050.724,3061484.061,1977.706431,-3118.564187,5916.866087
2021-05-17T23:49:23.000000,59351.992627314816,-6813203.196,1222295.079,3411521.169,2305.866241,-3205.464876,5747.998767
2021-05-17T23:50:23.000000,59351.99332175926,-6665202.608,1027537.318,3750884.801,2626.084583,-3285.247091,5561.177717
2021-05-17T23:51:23.000000,59351.9940162037,-6498250.514,828214.174,4078515.235,2937.430581,-3357.592549,5356.995468
2021-05-17T23:52:23.000000,59351.99471064815,-6312906.39,624781.013,4393389.93,3239.005138,-3422.198543,5136.098566
2021-05-17T23:53:23.000000,59351.995405092595,-6109782.644,417710.869,4694526.703,3529.943568,-3478.7791,4899.185324
2021-05-17T23:54:23.000000,59351.996099537035,-5889542.467,207493.404,4980986.764,3809.418082,-3527.066091,4647.003376
2021-05-17T23:55:23.000000,59351.99679398148,-5652897.552,-5366.193,5251877.593,4076.640083,-3566.810266,4380.347089
2021-05-17T23:56:23.000000,59351.99748842593,-5400605.682,-220348.37,5506355.669,4330.862247,-3597.78223,4100.054891
2021-05-17T23:57:23.000000,59351.99818287037,-5133468.191,-436920.43,5743629.031,4571.380471,-3619.773393,3807.006555
2021-05-17T23:58:23.000000,59351.998877314814,-4852327.316,-654537.808,5962959.675,4797.535712,-3632.596875,3502.120377
2021-05-17T23:59:23.000000,59351.99957175926,-4558063.444,-872645.4,6163665.775,5008.715661,-3636.088357,3186.350214
2021-05-18T00:00:23.000000,59352.0002662037,-4251592.258,-1090678.936,6345123.729,5204.356197,-3630.106884,2860.682459
2021-05-18T00:01:23.000000,59352.00096064815,-3933861.814,-1308066.414,6506770.018,5383.9427,-3614.535643,2526.132976
2021-05-18T00:02:23.000000,59352.001655092594,-3605849.528,-1524229.562,6648102.88,5547.01124,-3589.282685,2183.743956
2021-05-18T00:03:23.000000,59352.00234953704,-3268559.104,-1738585.356,6768683.795,5693.149572,-3554.281564,1834.580688
2021-05-18T00:04:23.000000,59352.00304398148,-2923017.414,-1950547.562,6868138.77,5821.997931,-3509.491908,1479.728326
2021-05-18T00:05:23.000000,59352.00373842593,-2570271.32,-2159528.321,6946159.44,5933.249681,-3454.899965,1120.288701
2021-05-18T00:06:23.000000,59352.00443287037,-2211384.478,-2364939.761,7002503.967,6026.651906,-3390.519116,757.377076
2021-05-18T00:07:23.000000,59352.00512731481,-1847434.094,-2566195.637,7036997.752,6102.005845,-3316.390297,392.118809
2021-05-18T00:08:23.000000,59352.00582175926,-1479507.666,-2762712.995,7049533.931,6159.16713,-3232.58234,25.645964
2021-05-18T00:09:23.000000,59352.006516203706,-1108699.726,-2953913.856,7040073.684,6198.045825,-3139.192246,-340.906028
2021-05-18T00:10:23.000000,59352.007210648146,-736108.567,-3139226.911,7008646.336,6218.606324,-3036.345383,-706.401674
2021-05-18T00:11:23.000000,59352.00790509259,-362832.997,-3318089.226,6955349.26,6220.867116,-2924.195633,-1069.70867
2021-05-18T00:12:23.000000,59352.00859953704,10030.902,-3489947.96,6880347.593,6204.900448,-2802.925497,-1429.701124
2021-05-18T00:13:23.000000,59352.00929398148,381392.984,-3654262.082,6783873.75,6170.831889,-2672.746156,-1785.262773
2021-05-18T00:14:23.000000,59352.009988425925,750172.224,-3810504.092,6666226.755,6118.839786,-2533.897431,-2135.290203
2021-05-18T00:15:23.000000,59352.01068287037,1115299.863,-3958161.735,6527771.37,6049.154599,-2386.647682,-2478.696056
2021-05-18T00:16:23.000000,59352.01137731481,1475722.517,-4096739.709,6368937.037,5962.058145,-2231.293623,-2814.41223
