MJD,X_ECI,Y_ECI,Z_ECI,VX_ECI,VY_ECI,VZ_ECI,
59348.916238425903430,-1049836.518802196718752,-4275236.439832169562578,-6337381.543406222946942,5944.446608254636885,2819.968564402621269,-2885.420995724388831,
59348.916932870401070,-691720.230011162464507,-4099469.489607921801507,-6500527.311103448271751,5989.663140414857480,3037.402908868438317,-2551.365627342769130,
59348.917627314796846,-331450.106851131888106,-3910937.933129628654569,-6643387.218078609555960,6016.223519065222717,3245.346109268036798,-2209.401011944286438,
59348.918321759301762,29851.891251017324976,-3710230.618305907119066,-6765518.499776219017804,6024.050964594276593,3443.157257705357551,-1860.590413970995087,
59348.919016203697538,391060.918844523024745,-3497973.911384175997227,-6866542.803590645082295,6013.126043112783009,3630.226976152835960,-1506.017129295238647,
59348.919710648202454,751052.684769090265036,-3274829.753725865390152,-6946147.294911287724972,5983.486636587045723,3805.979153907792806,-1146.781255166550409,
59348.920405092598230,1108706.883409062633291,-3041493.611956859473139,-7004085.569149730727077,5935.227734099549707,3969.872584395719514,-783.996422792302951,
59348.921099537001282,1462910.615245771361515,-2798692.339115031063557,-7040178.359745394438505,5868.501054918781847,4121.402491132749674,-418.786490573843423,
59348.921793981498922,1812561.771882059052587,-2547181.946660366840661,-7054314.060098953545094,5783.514538578287102,4260.101955411830204,-52.282260070271299,
59348.922488425901975,2156572.391668048687279,-2287745.292305747047067,-7046449.035446037538350,5680.531649468707656,4385.543282878565151,314.381846417353415,
59348.923182870399614,2493871.965045555029064,-2021189.687730862991884,-7016607.739628439769149,5559.870517702611323,4497.339217986112999,680.071099597389889,
59348.923877314802667,2823410.686571551021188,-1748344.437374148052186,-6964882.640756650827825,5421.902963747957074,4595.143988536316101,1043.653736177563360,
59348.924571759300306,3144162.642770923208445,-1470058.326333422679454,-6891433.942741337232292,5267.053432743848134,4678.654269460874275,1404.004189039962512,
59348.925266203703359,3455128.938941062428057,-1187197.043333787936717,-6796489.115700295194983,5095.797817573377870,4747.610055348995957,1760.006303643973979,
59348.925960648200999,3755340.743473844137043,-900640.556693024816923,-6680342.237196941860020,4908.662157941928854,4801.795436097049787,2110.556510683234592,
59348.926655092596775,4043862.257411557715386,-611280.451333125471137,-6543353.144326064735651,4706.221280732672312,4841.039297083147176,2454.566968863055990,
59348.927349536999827,4319793.601640357635915,-320017.215663838665932,-6385946.391631374135613,4489.097350729460231,4865.215973928143285,2790.968754861498837,
59348.928043981497467,4582273.603033579885960,-27757.501074677606084,-6208610.021816494874656,4257.958242340944707,4874.245833527117611,3118.715134657009457,
59348.928738425900519,4830482.489357166923583,264588.653878677519970,-6011894.131269502453506,4013.515643787965928,4868.095682038760060,3436.784844404107389,
59348.929432870398159,5063644.449997725896537,556110.619799984153360,-5796409.250313157215714,3756.523010410838651,4846.778972950392017,3744.185239618560900,
59348.930127314801211,5281030.083693056367338,845899.972625755821355,-5562824.534223971888423,3487.773436758475782,4810.355888528132709,4039.955338529277469,
59348.930821759298851,5481958.706943933852017,1133053.306462931679562,-5311865.769966443069279,3208.097441954242186,4758.933330267312158,4323.168817608036079,
59348.931516203701904,5665800.534847035072744,1416675.022617966169491,-5044313.212666198611259,2918.360611612702996,4692.664794915316634,4592.936955393195603,
59348.932210648097680,5831978.703786930069327,1695880.128721487242728,-4760999.239759773947299,2619.461123606467481,4611.750124409964883,4848.411510551616630,
59348.932905092602596,5979971.158472789451480,1969797.001338525442407,-4462805.835866689682007,2312.327126017889896,4516.435121296708530,5088.787538243605923,
59348.933599536998372,6109312.357800110243261,2237570.131679715123028,-4150661.919290949590504,1997.913980542575700,4407.011004161133314,5313.306133763921025,
59348.934293981503288,6219594.829732161946595,2498362.829188789241016,-3825540.491213446017355,1677.201350721027211,4283.813704381866955,5521.257068500914102,
59348.934988425899064,6310470.534301610663533,2751359.879578045569360,-3488455.644491718616337,1351.190159213499555,4147.222984154399455,5711.981283164416709,
59348.935682870396704,6381652.046098981983960,2995770.141779990866780,-3140459.423090178053826,1020.899430696894797,3997.661392606165919,5884.873235248352103,
59348.936377314799756,6432913.543274792842567,3230829.084899709559977,-2782638.541114289779216,687.363048244719153,3835.593056338161659,6039.383044671048083,
59348.937071759297396,6464091.600971296429634,3455801.235545889474452,-2416110.987444290425628,351.626467958058356,3661.522339653650306,6175.018508501687393,
59348.937766203700448,6475085.784233751706779,3669982.555422252044082,-2042022.503958433168009,14.743323778470426,3475.992333562773638,6291.346982912297790,
59348.938460648103501,6465859.031798796728253,3872702.708656607195735,-1661542.962327940389514,-322.228109628694426,3279.583128019057312,6387.997089421127384,
59348.939155092601140,6436437.831795760430396,4063327.227705771569163,-1275862.641385821392760,-658.228529375082871,3072.909868605206611,6464.660093291117846,
59348.939849536996917,6386912.166616395115852,4241259.553624647669494,-886188.440022977883928,-992.201202377775189,2856.620671417205358,6521.090934899219064,
59348.940543981501833,6317435.262454142794013,4405942.950052001513541,-493740.031684144109022,-1323.095429825916426,2631.394500911410887,6557.108982832647598,
59348.941238425897609,6228223.117773100733757,4556862.289855595678091,-99745.977411070591188,-1649.869938787970113,2397.939008413260126,6572.598647836408418,
59348.941932870402525,6119553.843276454135776,4693545.709976430982351,294560.189500501670409,-1971.496283765997759,2156.988273911427768,6567.509863781787317,
59348.942627314798301,5991766.784348205663264,4815566.124797552824020,687943.905289471498691,-2286.962288905008336,1909.300399491177814,6541.858369718755966,
59348.943321759303217,5845261.440837621688843,4922542.593681251630187,1079173.523933230899274,-2595.275476432550022,1655.654957658015974,6495.725694900831513,
59348.944016203698993,5680496.190051814541221,5014141.525927889160812,1467024.258754845941439,-2895.466395504628508,1396.850355352475844,6429.258857606604579,
59348.944710648102046,5497986.804099218919873,5090077.735385564155877,1850282.097451567649841,-3186.591836784458792,1133.701153197735493,6342.669812727699536,
59348.945405092599685,5298304.778935012407601,5150115.324340878054500,2227747.669509300496429,-3467.737958496635201,867.035338982220537,6236.234667175875984,
59348.946099537002738,5082075.489477067254484,5194068.410624698735774,2598240.075973627157509,-3738.023278590266727,597.691557412421503,6110.292642016462196,
59348.946793981500377,4849976.154547237791121,5221801.678290778771043,2960600.628610599320382,-3996.601518757824579,326.516316526363084,5965.244821298913848,
59348.947488425903430,4602733.645226443186402,5233230.768704873509705,3313696.527388619259000,-4242.664305907200287,54.361178044093492,5801.552730595980393,
59348.948182870401070,4341122.134121987968683,5228322.497133600525558,3656424.437286563217640,-4475.443794687267655,-217.920096810001951,5619.736683381564035,
59348.948877314796846,4065960.585736976470798,5207094.897626169025898,3987713.955427710898221,-4694.215117644635029,-489.474427558630168,5420.373840056025074,
59348.949571759301762,3778110.111916230991483,5169617.100919417105615,4306530.961490467190742,-4898.298565061560112,-759.452201357496506,5204.096001417966363,
59348.950266203697538,3478471.203710215166211,5116009.039473411627114,4611880.823372663930058,-5087.061522468656221,-1027.009946669358897,4971.587294639881293,
59348.950960648202454,3167980.850445834919810,5046441.008891372941434,4902811.468087256886065,-5259.920230838855787,-1291.312919609259097,4723.581803880847474,
59348.951655092598230,2847609.563428545836359,4961133.062965718097985,5178416.303853883408010,-5416.341419704948748,-1551.537645019726597,4460.861091639088045,
59348.952349537001282,2518358.295191834680736,4860354.260744704864919,5437836.994404797442257,-5555.843781263068195,-1806.874430837817727,4184.251609779256796,
59348.953043981498922,2181255.286863720044494,4744421.770790487527847,5680266.067438487894833,-5677.999276156752785,-2056.529820868839579,3894.621985215133463,
59348.953738425901975,1837352.833309550071135,4613699.819781355559826,5904949.364242281764746,-5782.434258404187858,-2299.728987581306228,3592.880208222160945,
59348.954432870399614,1487723.992592134280130,4468598.508551082573831,6111188.315429441630840,-5868.830429779329279,-2535.718064394511202,3279.970722400880732,
59348.955127314802667,1133459.242963848868385,4309572.483096695505083,6298342.033784314058721,-5936.925619531856682,-2763.766393112179230,2956.871419282691022,
59348.955821759300306,775663.089619523845613,4137119.479600053746253,6465829.236210847273469,-5986.514363546150889,-2983.168662725357990,2624.590557524846645,
59348.956516203703359,415450.656902102346066,3951778.742267371155322,6613129.964711461216211,-6017.448331983592652,-3193.246931952031900,2284.163679795040025,
59348.957210648200999,53944.244202416964981,3754129.320725955534726,6739787.137440798804164,-6029.636673570127641,-3393.352594537901496,1936.650485485220997,
59348.957905092596775,-307730.125637302815448,3544788.251239694189280,6845407.896775365807116,-6023.046218197069720,-3582.868331524778114,1583.131565135469600,
59348.958599536999827,-668446.171843365649693,3324408.625741922762245,6929664.763412180356681,-5997.701405673019508,-3761.209914721679525,1224.704988296840611,
59348.959293981497467,-1027080.800531143671833,3093677.558344773016870,6992296.579425569623709,-5953.683992394465349,-3927.827809098771013,862.482919938960777,
59348.959988425900519,-1382517.529290244681761,2853314.054635032080114,7033109.259283074177802,-5891.132602359454722,-4082.208622279313204,497.588314538604152,
59348.960682870398159,-1733649.890243941685185,2604066.808449438307434,7051976.334817616268992,-5810.242179006967490,-4223.876445913314456,131.151656964926531,
59348.961377314801211,-2079384.781495167408139,2346711.910918071866035,7048839.314094572328031,-5711.263326134974704,-4352.394094973013125,-235.692240862604535,
59348.962071759298851,-2418645.791508274152875,2082050.492290472611785,7023707.843223792500794,-5594.501586149485775,-4467.364292141724945,-601.807420444701847,
