MJD,Interpolated_X,Interpolated_Y,Interpolated_Z,Interpolated_VX,Interpolated_VY,Interpolated_VZ
59349.51137986922,-3670344.6530781514,1040280.4959939311,6705782.208251017,-5051.439445483111,-4686.233364728736,-2035.9700892047886
59349.51140078588,-3679468.420839502,1031810.0714918722,6702093.309118956,-5045.692408965751,-4687.853693126093,-2046.477365708099
59349.5114217037,-3688582.293349448,1023336.262029652,6698385.220865357,-5039.930773758403,-4689.460867382959,-2056.9794631031937
59349.511442620365,-3697685.2398812072,1014860.0258955843,6694658.362783124,-5034.155191236372,-4691.054705671787,-2067.4751937820506
59349.51146353704,-3706777.7390016806,1006380.9184581139,6690912.540786129,-5028.3653592492865,-4692.6352926605405,-2077.9651091388955
59349.51148445486,-3715860.2575229728,997898.503311983,6687147.560585018,-5022.5609785986835,-4694.202708493335,-2088.4497483586238
59349.511505371534,-3724931.777747126,989413.7308682294,6683363.843986941,-5016.742699442637,-4695.75677747907,-2098.9279367494955
59349.51152628935,-3733993.264847895,980925.6983352383,6679560.988359472,-5010.909902514691,-4697.2976649018365,-2109.4007892627374
59349.51154720602,-3743043.7003372847,972435.3597070423,6675739.421085741,-5005.063243191946,-4698.8251975123185,-2119.8671288861797
59349.51156812268,-3752083.553751078,963942.2755110255,6671898.945781921,-4999.202419666525,-4700.339455447605,-2130.3274982050034
59349.511589040514,-3761113.30803896,955445.9909028804,6668039.355257609,-4993.327116844838,-4701.840518580757,-2140.7824566948807
59349.51160995833,-3770132.4248035913,946947.0113715243,6664160.877634762,-4987.437683066876,-4703.328296389797,-2151.2313816133424
59349.51163087501,-3779140.3931414704,938445.8193647608,6660263.734501074,-4981.534453470307,-4704.802705486735,-2161.673680651665
59349.51165179167,-3788137.674129889,929941.9807542507,6656347.728265891,-4975.617127417315,-4706.263822229986,-2172.1098878915664
59349.51167270949,-3797124.745317536,921435.0430901819,6652412.649090615,-4969.685388874036,-4707.711723156063,-2182.5405578814402
59349.51169362616,-3806100.593436418,912925.9654459697,6648458.940557513,-4963.739906375935,-4709.146244936728,-2192.9645147067113
59349.51171454397,-3815066.1703625596,904413.8454048599,6644486.183330624,-4957.780049193421,-4710.567539636964,-2203.3828639180538
59349.51173546065,-3824020.4777356987,895899.6307845118,6640494.819732249,-4951.806480754123,-4711.975448917848,-2213.7944454894055
59349.51175637732,-3832963.973889417,887382.8867789694,6636484.647333074,-4945.818896803199,-4713.370045723973,-2224.199791933868
59349.51177729514,-3841897.1303834193,878863.1632239101,6632455.452676178,-4939.81697965132,-4714.751402556532,-2234.5994525185247
59349.51179821181,-3850818.933823494,870341.4265642095,6628407.692776661,-4933.80140993429,-4716.119362638435,-2244.9922475915914
59349.51181912963,-3859730.342766652,861816.7611837058,6624340.932691559,-4927.771541117769,-4717.474072874947,-2255.379293854608
59349.51184004629,-3868630.3493898623,853290.1311247301,6620255.632292599,-4921.728054918007,-4718.815379988132,-2265.759416700214
59349.51186096412,-3877519.9191782726,844760.6113436415,6616151.348310491,-4915.670295472018,-4720.143429396815,-2276.1337422886904
59349.51188188078,-3886398.031312153,836229.1812647054,6612028.551988479,-4909.598958177614,-4721.458068519853,-2286.5010794034174
59349.51190279745,-3895265.1618790566,827695.3844198128,6607887.024165682,-4903.5137190117175,-4722.759368754949,-2296.861983559913
59349.51192371528,-3904121.775284721,819158.7727243146,6603726.545863433,-4897.414257229353,-4724.04739719267,-2307.2169980374374
59349.51194463194,-3912966.854503613,810620.3264202983,6599547.594797326,-4891.301273031155,-4725.322005858797,-2317.5649338394833
59349.511965548605,-3921800.8800134826,802079.5827187272,6595349.9458904695,-4885.1744359073655,-4726.583264893476,-2327.9063526455243
59349.51198646644,-3930624.3113957895,793536.0961473609,6591133.378672346,-4879.0334250580145,-4727.8312388365775,-2338.2417930997763
59349.5120073831,-3939436.1384967603,784990.8447659994,6586898.375822894,-4872.878943311365,-4729.065784737819,-2348.570072040641
59349.51202830093,-3948237.323372359,776442.8955714025,6582644.474905609,-4866.710318495172,-4730.287037299699,-2358.892317184697
59349.51204921759,-3957026.855347117,767893.2301072842,6578372.164344494,-4860.528258737478,-4731.494856197514,-2369.2073432839966
59349.51207013542,-3965805.6909897304,759340.9178646033,6574080.979125756,-4854.332091012733,-4732.689372800717,-2379.5162730203338
59349.51209105208,-3974572.828654035,750786.9345906988,6569771.408802447,-4848.122522046318,-4733.870450746556,-2389.817930280109
59349.512111968754,-3983328.738159831,742230.8229148862,6565443.224342397,-4841.899220623346,-4735.038154206118,-2400.1128666613363
59349.51213288657,-3992073.865843246,733672.1455462199,6561096.203038916,-4835.661867465019,-4736.192541630059,-2410.4016075828044
59349.51215380324,-4000807.2287572823,725111.8644286514,6556730.833436648,-4829.41116341469,-4737.3334831844395,-2420.682996686077
59349.5121747199,-4009529.2800611486,716549.5364203255,6552346.890963145,-4823.146785696976,-4738.461038970148,-2430.957567008068
59349.51219563773,-4018240.4856154057,707984.7030403058,6547944.139367549,-4816.868397656525,-4739.575268127128,-2441.2258679670085
59349.5122165544,-4026939.8480921513,699418.3447979768,6543523.082627398,-4810.576717837354,-4740.6760429930955,-2451.4867240606404
59349.51223747223,-4035628.308185281,690849.5353344867,6539083.242618242,-4804.2710656637,-4741.7634825140085,-2461.7412449195886
59349.512258390045,-4044305.3568008123,682278.7755900943,6534624.8774089115,-4797.951808561079,-4742.837521893282,-2471.988830315589
59349.512300223374,-4061624.1767756236,665132.4387920978,6525653.113742036,-4785.273244182348,-4744.9452741320565,-2492.4619616670043
59349.51232114005,-4070266.382281793,656556.4332522134,6521139.492902793,-4778.913620986029,-4745.979040952268,-2502.6880203004007
59349.51234205787,-4078897.5535013857,647978.1030671353,6516607.149861912,-4772.540114568333,-4746.999452516508,-2512.9075900613484
59349.51236297454,-4087516.7232855624,639398.4094089372,6512056.592407526,-4766.153438852044,-4748.006394388408,-2523.1195259016954
59349.5123838912,-4096124.3299054005,630816.9170689039,6507487.591125494,-4759.753270678232,-4748.9999186797695,-2533.3243466171775
59349.51240480903,-4104720.842058137,622233.1576097691,6502899.895111896,-4753.339259466439,-4749.980078389217,-2543.5226085068216
59349.51242572569,-4113305.2695600563,613648.119682758,6498294.0327088395,-4746.912143749516,-4750.946760512705,-2553.713136977074
59349.512446642366,-4121878.0757934344,605061.3409243748,6493669.757263241,-4740.471578183454,-4751.900018136851,-2563.8964816405187
59349.51246756018,-4130439.6947517563,596472.3854734111,6489026.832562207,-4734.01723463928,-4752.839898419252,-2574.073158650768
59349.51248847685,-4138989.173032351,587882.2097191724,6484365.775554265,-4727.549831607407,-4753.766296595805,-2584.2420348368373
59349.51250939351,-4147526.945367408,579290.3779084666,6479686.351192263,-4721.069041809473,-4754.67926067393,-2594.4036268084346
59349.51253031135,-4156053.473652689,570696.4240410842,6474988.304171029,-4714.574512521842,-4755.5788389253785,-2604.558484944809
59349.51255122801,-4164567.7698436603,562101.3439234258,6470272.178829499,-4708.066996082761,-4756.464927010829,-2614.705432587499
59349.51257214584,-4173070.7723851465,553504.1901550429,6465537.455290935,-4701.54577499349,-4757.337622496789,-2624.8455882063454
59349.5125930625,-4181561.5018607485,544905.9529311453,6460784.678831119,-4695.011600134677,-4758.196824750464,-2634.9777838903565
59349.51261397917,-4190040.4136710274,536306.1721537292,6456013.596535579,-4688.464122662008,-4759.042580771947,-2645.1025625983148
59349.51263489583,-4198507.477893084,527704.8781127485,6451224.225161807,-4681.9033654282985,-4759.874887469716,-2655.2198886743563
59349.51265581366,-4206963.146684659,519101.61029138503,6446416.306781093,-4675.328975946893,-4760.693788157383,-2665.330303037818
59349.51267673032,-4215406.449027662,510497.3565973743,6441590.393436255,-4668.741708941956,-4761.499188687056,-2675.4326447195745
59349.51269764816,-4223838.309653617,501891.17460392794,6436745.956486764,-4662.140842692701,-4762.291177152643,-2685.528020229903
59349.512718564816,-4232257.75148593,493284.0615342932,6431883.557233034,-4655.527141858003,-4763.069661675764,-2695.6152597943806
59349.51273948264,-4240665.699590227,484675.0716562003,6427002.661374825,-4648.899879541321,-4763.834727692744,-2705.6954717883436
59349.5127603993,-4249061.191345719,476065.1905392366,6422103.8276271615,-4642.2598142257875,-4764.586287493769,-2715.767502208819
59349.512781317135,-4257445.14017594,467453.48135728366,6417186.522883448,-4635.606223196844,-4765.324422714188,-2725.83244695403
59349.5128022338,-4265816.58635127,458840.9298488471,6412251.309955538,-4628.939867845087,-4766.04904874829,-2735.88915394265
59349.512823150464,-4274175.97026733,450227.0840273748,6407297.931265729,-4622.260399130807,-4766.760204652877,-2745.938151727129
59349.512844067125,-4282523.271153632,441611.9652405523,6402326.399050907,-4615.567833404851,-4767.457888553231,-2755.979415402886
59349.51286498496,-4290858.931829369,432995.1152445388,6397336.447360408,-4608.861813458826,-4768.142136299191,-2766.0134782909627
59349.51288590162,-4299181.9950586865,424377.5235031278,6392328.649136729,-4602.143109128684,-4768.812869198657,-2776.0391881834325
59350.52712098842,-3962811.3277943335,880161.573513593,6560837.682439472,-5006.302040408137,-4555.344459253527,-2410.5381028588145
59350.52714211921,-3971945.6130992817,871843.6156039617,6556427.281147435,-5000.033293259546,-4556.7286969839715,-2420.9241853101394
59350.52716325001,-3981068.4466003114,863523.1367936006,6551997.921302221,-4993.750092856278,-4558.099797013752,-2431.3033183130256
59350.52718438079,-3990179.789364356,855200.1725377411,6547549.621734559,-4987.452465762785,-4559.45775341315,-2441.6754576661806
59350.52720666899,-3999777.718537581,846418.6567679541,6542837.159529445,-4980.794276683759,-4560.875843302105,-2452.6081120827826
59350.52722664236,-4008367.9162338655,838546.8665186826,6538596.245492843,-4974.813990387052,-4562.134222187619,-2462.398657346393
59350.52724777314,-4017444.6446452443,830216.5756499349,6534091.196105349,-4968.473180317408,-4563.452726214138,-2472.7496543955035
59350.52726890394,-4026509.7928311015,821883.8810505765,6529567.250745739,-4962.118004726666,-4564.758073116104,-2483.093556201522
59350.52729003356,-4035562.820513086,813549.2803615157,6525024.680990905,-4955.748843973417,-4566.050185956598,-2493.429745860308
59350.52731232176,-4045099.627885886,804755.1337967942,6520212.5902313385,-4949.014929100416,-4567.398880622457,-2504.3249243120613
59350.52733229513,-4053634.92206698,796872.1435787062,6515882.459342447,-4942.96687156582,-4568.595052515721,-2514.081738189206
59350.52735342593,-4062653.450728527,788530.1090414213,6511283.080348553,-4936.554442503602,-4569.847728007906,-2524.39691867774
59350.527374557874,-4071660.745358317,780185.3487621227,6506664.62559762,-4930.12739789439,-4571.087292720659,-2534.705401043791
59350.52739684606,-4081148.1485514557,771381.5622131465,6501773.08328798,-4923.333252658539,-4572.380396579302,-2545.5700222297387
59350.527416819445,-4089639.0828742245,763490.0132700719,6497371.796622387,-4917.231280996128,-4573.526738925205,-2555.299353580238
59350.52743795023,-4098610.567230653,755139.0294188033,6492697.196776751,-4910.761894003065,-4574.7266814123495,-2565.5853289437237
59350.527459081015,-4107570.2274033837,746785.866932328,6488003.824584205,-4904.278312553032,-4575.91343206765,-2575.8639308392635
59350.52748021181,-4116518.0405769194,738430.5470171922,6483291.691905234,-4897.780552886206,-4577.086987773243,-2586.135133179209
59350.52750134259,-4125453.9747289238,730073.0995173596,6478560.815525051,-4891.268637997886,-4578.247344238609,-2596.3988992876457
59350.52752247338,-4134378.007116268,721713.5456522494,6473811.207418405,-4884.742584214221,-4579.39449842511,-2606.6552031205383
59350.52754360416,-4143290.111946995,713351.9095238959,6469042.8812332,-4878.202410136821,-4580.528446925094,-2616.9040151165023
59350.52756473495,-4152190.263463416,704988.2152402902,6464255.850671196,-4871.6481344077665,-4581.649186368283,-2627.1453057348153
59350.52758586575,-4161078.44205894,696622.4811535085,6459450.126172021,-4865.079771181398,-4582.756714179916,-2637.3790525004233
59350.52760699653,-4169954.609802686,688254.7429056236,6454625.728164073,-4858.497348227446,-4583.85102553905,-2647.6052118189377
59350.52762812731,-4178818.7441149713,679885.0217440982,6449782.668878277,-4851.900882064586,-4584.932117584832,-2657.8237577448476
59350.527649258096,-4187670.8254800015,671513.3360364495,6444920.958896314,-4845.290386953891,-4585.999987841028,-2668.0346678576793
